Sat	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
5/31/2023	84,08	76,93	76,02	82,96	82,04	84,82	99,67	108,12	95,6	91,19	85,72	70,22	68,47	56,95	54,22	57,95	77,98	104,86	103,4	117,24	141,14	113,84	105,57	97,19	
5/30/2023	86,13	80,85	70,67	75,6	75,31	87,27	105,51	114,49	113,14	120	106,03	90,54	79,55	62,39	87,23	107,66	108,74	100,6	116,75	141,22	152,14	131,75	120	90,27	
5/29/2023	20,8	27,7	27,97	26,34	14,86	37,61	35,76	41,9	30,41	7,83	22,56	38,37	27,68	7,92	8,19	34,03	26,77	92,68	106,25	98,17	121,21	102,76	88,93	77,16	
5/28/2023	80,22	69,7	69,6	63,39	63,78	63,03	56,34	19,33	13,73	-7,73	1,3	-13,03	-26,86	-39,53	-44,02	-47,71	-6,02	0,32	55,69	70,11	71,52	72,95	71,26	58,2	
5/27/2023	79,85	79,62	75,93	74,66	76,08	68,76	66,1	61,87	58,63	57,06	17,35	1,53	-38,82	-6,68	-10,17	-2,41	-0,35	44,92	88,74	92,22	130,66	104,19	93,79	85,8	
5/26/2023	78,87	62,42	54,14	51,28	51,44	75,06	92,78	89,56	94,02	44,66	45,49	35,53	19,76	16,1	12,84	27,97	40,57	79,4	85,69	98,83	115,81	108,98	96,74	85,16	
5/25/2023	95,04	85,17	86,5	77,9	80,95	86,79	105,49	105,97	97,72	76,01	63,08	53,52	47,64	35,87	64,59	41,22	66,47	83,35	102,36	119,15	118,62	126,76	103,66	90,44	
5/24/2023	95,76	86,89	78,94	68,45	75,52	56,68	110,27	118,68	127,32	113,19	91,22	85,13	86,57	93,26	82,15	77,28	87,62	106,48	112,46	129,85	147,01	143,66	108,75	102,47	
5/23/2023	62,52	69,11	65,46	56,12	32,39	94,96	118,69	119,22	81,73	79,93	75,76	64,13	49,4	59,22	57,89	80,8	95,07	103,95	117,14	147,01	157,31	124,37	107,3	101	
5/22/2023	87,43	84,85	80,1	78,37	79,89	89,31	91,31	103,86	89,8	89,93	97,22	66,9	85,2	44,05	58,15	64,32	73,48	101,02	113,93	132,3	157,86	128,11	110,9	94,2	
5/21/2023	55,16	50,52	31,52	18,86	13,38	13,38	20,68	32,83	13,42	-0,33	6,72	-3,7	-5,85	-21,27	-12,13	-9,55	-0,83	12,22	49,43	97,88	99,7	101,85	100,41	98,98	
5/20/2023	69,8	69,28	37,29	35,25	37,02	46,31	52,55	53,12	48,12	14,21	4,03	28,36	2,72	-4,4	-3,41	-3,76	10,3	51,1	61,55	71,76	66,37	68,82	70,26	62,5	
5/19/2023	64,3	63,55	65,02	63,31	65	66,37	72,92	80,13	83,5	80,4	65,56	59,62	54,17	50,6	48	51,41	54,74	71,33	79,68	94,34	107,06	98,1	77	65,43	
5/18/2023	76,49	69,34	68,12	67,98	72,9	74,22	73,38	98,4	110,12	107,41	104,75	95,71	75,62	51,55	31,08	46,96	68,25	77,57	120,03	127,43	159,77	99,1	89,57	77,08	
5/17/2023	65,19	57,41	52,45	54,62	46,25	44,38	93,71	95,42	91,98	97,37	76,31	74,73	70,7	65,1	62,71	43,61	73,43	83,17	100,95	97,5	93,98	80,36	89,3	68,67	
5/16/2023	111,82	95,52	93,46	97,32	94,56	111,07	133,18	154,36	162,04	144,46	135,25	139,31	105,84	114,63	112,41	126,54	111,67	112,09	118,81	125,73	128,35	127,22	108,39	105,8	
5/15/2023	111,82	95,52	93,46	97,32	94,56	111,07	133,18	154,36	162,04	144,46	135,25	139,31	105,84	114,63	112,41	126,54	111,67	112,09	118,81	125,73	128,35	127,22	108,39	105,8	
5/14/2023	110,63	109,23	96,72	95,78	92,52	94,43	81,32	75,42	71,74	56,73	30,86	17,89	25,41	17,16	13,41	21,9	41,25	88,26	105,82	110,08	116,26	120,1	114,58	109,7	
5/13/2023	102,65	106,31	99,22	102,15	101,59	103,44	99,57	101,97	96,67	90,3	73,07	40,21	35,75	24,2	12,15	19,08	42,4	84,19	99,44	107,57	112,36	111,52	106,68	103,37	
5/12/2023	104,71	95,94	95,5	93,41	95,63	104,47	122,67	130,89	138,41	119,23	107,46	109,53	92,71	84,71	84,43	84,88	89,59	101,13	143,06	147,69	147,88	119,92	103,73	97,19	
5/11/2023	102,06	98,26	95,91	91,89	95,32	103,37	118	153,81	162,08	129,32	109,95	103,91	99,48	94,02	91,88	98,34	106,42	113,52	139,66	154,67	190,78	142,91	114,02	103,83	
5/10/2023	96,56	92,41	91,17	80,76	90,37	91,84	112,24	131,74	141,91	128,52	106,2	89,84	108,51	110,81	96,07	100,66	108,84	112,86	132,11	150,25	231,29	146,4	130,36	108,05	
5/9/2023	101,85	93,78	92,99	90,04	89,38	95,42	118,44	116,39	133,65	117,63	98,6	97,84	93,23	94,06	95,88	87,94	88,51	102,8	127,94	134,44	145,73	122,95	109,36	94,82	
5/8/2023	98,88	88,97	87,57	87,9	90,88	93,38	103,81	109,14	109,25	98,83	84,1	77,22	74,14	78,97	80,38	79,05	88,08	94,78	109,89	133,22	153,32	127,47	110,75	100,43	
5/7/2023	101,18	91,62	87,53	84,89	86,29	83,61	83,06	84,64	82,34	58,46	35,67	15,38	16,42	15,29	15,9	35,87	44,02	73,15	91,41	104,65	110,69	116,35	107,77	95,58	
5/6/2023	93,79	89,6	87,37	88,37	85,54	89,85	108,19	116,13	112,51	96,63	89,32	74,07	86,95	74,2	81,14	84,01	95,28	91,73	107,71	116,55	123,85	114,66	106,64	102,9	
5/5/2023	93,79	89,6	87,37	88,37	85,54	89,85	108,19	116,13	112,51	96,63	89,32	74,07	86,95	74,2	81,14	84,01	95,28	91,73	107,71	116,55	123,85	114,66	106,64	102,9	
5/4/2023	97,17	89,13	89,68	89,8	91,49	101,37	118,65	127,89	119,32	103	88,33	85,56	91,53	87,58	75,06	86,53	107,47	118,15	119,56	135,01	133,93	136,53	112,6	104,11	
5/3/2023	109,78	103,39	98,4	92,09	91,22	98,49	113,77	124,2	126,12	104,89	72,73	78,05	57,18	77,25	75,51	71,84	77,71	98,05	113,42	131,89	162,35	120,85	107,37	95,41	
5/2/2023	90,83	85,82	87,72	82,81	82,32	88,83	108,9	122,8	132,64	120,34	109,33	105,37	83,23	88,26	74,36	85,79	94,25	99,47	116,22	121,66	130,62	127,34	119,43	113,67	
5/1/2023	98,5	88,07	86,24	81,51	78,8	78,82	76,15	70	60,6	21,52	26,86	23,6	18,79	21,72	14,36	33,01	53,17	70,33	101,31	116,24	120,8	118,22	109,4	105,57	
4/30/2023	97,07	84,99	80,4	70,32	67,21	66,1	74,39	79,48	68,43	38,73	10,37	-4,57	8,13	-5,58	-5	-8,16	0,26	32,74	88,83	124,22	115,73	116,43	114,02	107,46	
4/29/2023	112,22	108,17	103,31	99,62	97,12	97,63	96,77	102,67	108,19	101,02	89,94	89,82	79	83,42	68,01	66,69	76,96	88,23	101,13	112,14	117,35	101,45	109,96	102,32	
4/28/2023	97,01	92,02	88,41	89,45	90,51	95,3	106,96	128,06	124,15	115,32	117,21	110,39	102,74	99,83	94,74	82,22	93,03	98,34	115,08	129,53	143,48	132,92	122,81	113,57	
4/27/2023	99,21	97,57	88,7	85,53	86,4	86,58	117,22	125,03	127,18	100,09	91,34	85,9	80,42	79,05	80,25	85,67	88,04	91,64	112,25	138,66	142,39	131,28	120,88	103,56	
4/26/2023	90,42	92,58	89,65	88,25	88,79	93,3	119,99	129,74	125,36	98,56	72,27	74,38	73,92	79,73	91,97	90,95	89,63	94,05	120,46	143,97	156,03	144,64	122,92	106,59	
4/25/2023	91,59	91,89	84,47	85,43	82,08	86,63	121,68	118,13	129,85	98,12	98,17	90,02	86,37	82,62	80,98	79,91	86,48	93,06	112,47	128,53	139,02	118,55	113,42	91,32	
4/24/2023	85,28	79,63	82,33	80,14	77,77	89,5	123,81	126,09	97,37	96,71	104,57	105,57	88,07	86,94	83,1	88,3	96,77	106,29	118,8	130,9	128,56	121,26	103,35	110,24	
4/23/2023	107,35	85,08	87,75	88,86	82,63	88,86	88,76	52,9	33,26	43,54	52,22	14,65	11,25	-13,8	-1,52	3,23	45,71	84,85	100,52	115,31	123,46	121,75	100,24	95,73	
4/22/2023	103,32	102,55	108,78	107,84	107,72	105,47	118,19	106,9	104,17	77,15	64,78	33,14	6,06	15,51	2,8	31,18	70,18	106,59	126,47	144	143,37	116,92	116,03	108,57	
4/21/2023	108,54	102,02	101,27	103,41	102,69	108,91	132,87	145,62	129,52	105,82	81,23	74,14	62,61	60,48	51,01	45,17	75,58	110,42	133,73	146,07	146,85	139,42	123,66	99,73	
4/20/2023	111,46	102,05	101,31	100,38	103,49	110,39	130,5	142,47	135,44	108,19	99,75	109,79	112,32	102,41	95,42	85,65	102,99	111,82	134,57	162,08	194,49	148,06	128,71	103,69	
4/19/2023	101,75	100,78	99,52	99,55	109,22	116,46	135,61	152,27	142,92	144,47	105,34	115,04	98,06	102,95	89,73	127,86	119,35	125,29	143,43	154,2	160,97	141,89	123,03	117,11	
4/18/2023	105,81	104,61	104,96	105,9	105,6	108,15	135,06	134,85	148,1	138,16	127,01	120,45	116,33	112,72	111,8	114,22	116,22	116,52	127,36	148,82	139,45	132,41	122,83	109,96	
4/17/2023	115,03	111,22	111,68	96,59	111,32	103,55	123,4	132,72	132,27	134,19	114,93	99,29	97,22	85,63	91,7	77,92	102,27	107,5	112,98	131,74	137,93	127,16	114,82	91,68	
4/16/2023	105,83	99,12	103,29	99,68	91,01	91,14	97,3	95,38	105,84	110,66	105,28	101,96	91,05	95,39	92,97	72,72	98,65	105,55	99,26	133,07	136,63	126,3	122,7	109,66	
4/15/2023	115,92	112,82	114,52	110,2	105,92	104,31	104,67	109,1	107,56	99,41	101,63	98,25	86,16	91,63	89,08	90,97	104,03	102,91	112,8	129,22	126,59	121,11	119,26	107,66	
4/14/2023	111,48	114,93	115,74	108,6	104,39	112,78	128,22	157,52	162,02	137,47	123,57	106,74	110,65	96,39	95,98	103,84	95,21	124,47	118,11	130,59	133,45	123,99	112,41	106,18	
4/13/2023	120,95	104,25	95,93	94,35	96,78	108,26	139,67	153,62	156,65	147,69	136,48	121,59	114,54	106,82	107,25	114,48	116,79	122,81	130,6	144,27	162,24	160,23	114,51	114,78	
4/12/2023	108,1	105,5	98,21	90,49	87,28	110,44	148,2	145,91	162,64	128,62	122,92	116,81	100,49	99,18	97,63	101,25	109,93	117,98	125,41	162,9	155,66	142,31	138,91	110,78	
4/11/2023	85,64	71,43	69,1	62,33	63,02	59,96	69,41	69,76	62,02	27,56	17,9	21,96	10,56	-3,95	2,1	2,75	-3,39	10,23	66,18	137,56	141,11	141,1	115,81	100,7	
4/10/2023	85,64	71,43	69,1	62,33	63,02	59,96	69,41	69,76	62,02	27,56	17,9	21,96	10,56	-3,95	2,1	2,75	-3,39	10,23	66,18	137,56	141,11	141,1	115,81	100,7	
4/9/2023	119,81	114,22	114,62	112,64	108,01	106,57	108,05	105,08	109,79	102,47	89,81	88,49	72,41	51,29	37,36	39,07	52,36	74,26	104,97	117,46	119,76	115,47	105,59	100,79	
4/8/2023	122,23	115,43	114,32	112,19	110,74	115,47	123,16	128,63	131,82	130	119,69	124,49	109,67	103,53	96,82	108,31	114,36	119,34	138,56	150,47	143,79	138	134,42	130,64	
4/7/2023	115,79	115,89	117,38	110,91	119,12	122,13	122,24	135,16	134,08	145,62	153,77	159,88	128,68	121,17	116,53	122,74	118,54	130,63	153,42	163,95	165,16	181,13	138,36	133,96	
4/6/2023	138,64	124,72	103,04	108,54	110,36	121,68	146,44	169,47	155,82	118,42	122,16	125,25	126,62	105,71	103,1	98,58	116,6	126,54	137,68	157,83	174,75	138,94	117,47	107,54	
